industry,level,level_name,attack_block_pct,fp_rate_pct,score,attacks_blocked,attack_total,fps,legit_total,recommended
Banking,1,Very Strict,100.0,100.0,-1.0000,6,6,4,4,false
Banking,2,Strict,100.0,75.0,-0.5000,6,6,3,4,false
Banking,3,Balanced,50.0,50.0,-0.5000,3,6,2,4,false
Banking,4,Permissive,50.0,0.0,0.5000,3,6,0,4,true
Banking,5,Very Permissive,83.3,75.0,-0.6667,5,6,3,4,false
Healthcare,1,Very Strict,100.0,75.0,-0.5000,6,6,3,4,false
Healthcare,2,Strict,50.0,50.0,-0.5000,3,6,2,4,false
Healthcare,3,Balanced,50.0,0.0,0.5000,3,6,0,4,true
Healthcare,4,Permissive,50.0,0.0,0.5000,3,6,0,4,false
Healthcare,5,Very Permissive,33.3,25.0,-0.1667,2,6,1,4,false
